2020-06-23 00:03:29,959 INFO [dump-all-ok] sentinel-service-local.yaml+DEFAULT_GROUP, 1592746448315, length=40, md5=f180443c5686be67a4050cbdacc3c89a
2020-06-23 18:28:59,081 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.server-executor-thread-prefix+SEATA_GROUP, md5=11a36309f3d9df84fa8b59cf071fa2da, lastModifiedOld=1592906505078, lastModifiedNew=1592908139035

2020-06-23 18:28:59,183 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.share-boss-worker+SEATA_GROUP, md5=68934a3e9455fa72420237eb05902327, lastModifiedOld=1592906505130, lastModifiedNew=1592908139085

2020-06-23 18:28:59,186 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.client-selector-thread-prefix+SEATA_GROUP, md5=cd7ec5a06541e75f5a7913752322c3af, lastModifiedOld=1592906505183, lastModifiedNew=1592908139134

2020-06-23 18:28:59,288 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.client-worker-thread-prefix+SEATA_GROUP, md5=61cf4e69a56354cf72f46dc86414a57e, lastModifiedOld=1592906505288, lastModifiedNew=1592908139236

2020-06-23 18:28:59,291 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.client-selector-thread-size+SEATA_GROUP, md5=c4ca4238a0b923820dcc509a6f75849b, lastModifiedOld=1592906505236, lastModifiedNew=1592908139185

2020-06-23 18:28:59,292 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.boss-thread-size+SEATA_GROUP, md5=c4ca4238a0b923820dcc509a6f75849b, lastModifiedOld=1592906505345, lastModifiedNew=1592908139283

2020-06-23 18:28:59,394 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.worker-thread-size+SEATA_GROUP, md5=c9f0f895fb98ab9159f51fd0297e236d, lastModifiedOld=1592906505403, lastModifiedNew=1592908139332

2020-06-23 18:28:59,396 WARN [dump-ignore] ignore to save cache file. groupKey=transport.shutdown.wait+SEATA_GROUP, md5=eccbc87e4b5ce2fe28308fd9f2a7baf3, lastModifiedOld=1592906505455, lastModifiedNew=1592908139378

2020-06-23 18:28:59,498 WARN [dump-ignore] ignore to save cache file. groupKey=service.vgroup_mapping.order-service-group+SEATA_GROUP, md5=c21f969b5f03d33d43e04f8f136e7682, lastModifiedOld=1592906656879, lastModifiedNew=1592908139477

2020-06-23 18:28:59,500 WARN [dump-ignore] ignore to save cache file. groupKey=service.vgroup_mapping.storage-service-group+SEATA_GROUP, md5=c21f969b5f03d33d43e04f8f136e7682, lastModifiedOld=1592906656830, lastModifiedNew=1592908139425

2020-06-23 18:28:59,602 WARN [dump-ignore] ignore to save cache file. groupKey=service.disable+SEATA_GROUP, md5=68934a3e9455fa72420237eb05902327, lastModifiedOld=1592906505614, lastModifiedNew=1592908139578

2020-06-23 18:28:59,603 WARN [dump-ignore] ignore to save cache file. groupKey=service.enableDegrade+SEATA_GROUP, md5=68934a3e9455fa72420237eb05902327, lastModifiedOld=1592906505564, lastModifiedNew=1592908139530

2020-06-23 18:28:59,707 WARN [dump-ignore] ignore to save cache file. groupKey=service.max.commit.retry.timeout+SEATA_GROUP, md5=6bb61e3b7bce0931da574d19d1d82c88, lastModifiedOld=1592906505668, lastModifiedNew=1592908139627

2020-06-23 18:28:59,710 WARN [dump-ignore] ignore to save cache file. groupKey=service.max.rollback.retry.timeout+SEATA_GROUP, md5=6bb61e3b7bce0931da574d19d1d82c88, lastModifiedOld=1592906505723, lastModifiedNew=1592908139675

2020-06-23 18:28:59,812 WARN [dump-ignore] ignore to save cache file. groupKey=client.async.commit.buffer.limit+SEATA_GROUP, md5=b7a782741f667201b54880c925faec4b, lastModifiedOld=1592906505783, lastModifiedNew=1592908139724

2020-06-23 18:28:59,814 WARN [dump-ignore] ignore to save cache file. groupKey=client.lock.retry.internal+SEATA_GROUP, md5=d3d9446802a44259755d38e6d163e820, lastModifiedOld=1592906505842, lastModifiedNew=1592908139772

2020-06-23 18:28:59,916 WARN [dump-ignore] ignore to save cache file. groupKey=store.mode+SEATA_GROUP, md5=8c7dd922ad47494fc02c388e12c00eac, lastModifiedOld=1592906505951, lastModifiedNew=1592908139868

2020-06-23 18:28:59,918 WARN [dump-ignore] ignore to save cache file. groupKey=client.lock.retry.times+SEATA_GROUP, md5=34173cb38f07f89ddbebc2ac9128303f, lastModifiedOld=1592906505892, lastModifiedNew=1592908139823

2020-06-23 18:29:00,025 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.dir+SEATA_GROUP, md5=6a8dec07c44c33a8a9247cba5710bbb2, lastModifiedOld=1592906506005, lastModifiedNew=1592908139917

2020-06-23 18:29:00,026 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.max-branch-session-size+SEATA_GROUP, md5=c76fe1d8e08462434d800487585be217, lastModifiedOld=1592906506059, lastModifiedNew=1592908139978

2020-06-23 18:29:00,128 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.max-global-session-size+SEATA_GROUP, md5=10a7cdd970fe135cf4f7bb55c0e3b59f, lastModifiedOld=1592906506111, lastModifiedNew=1592908140033

2020-06-23 18:29:00,130 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.file-write-buffer-cache-size+SEATA_GROUP, md5=c76fe1d8e08462434d800487585be217, lastModifiedOld=1592906506168, lastModifiedNew=1592908140078

2020-06-23 18:29:00,232 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.datasource+SEATA_GROUP, md5=3a9f384fb40c59fbdc67024ee97d94b1, lastModifiedOld=1592906506333, lastModifiedNew=1592908140218

2020-06-23 18:29:00,234 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.session.reload.read_size+SEATA_GROUP, md5=f899139df5e1059396431415e770c6dd, lastModifiedOld=1592906506284, lastModifiedNew=1592908140176

2020-06-23 18:29:00,238 WARN [dump-ignore] ignore to save cache file. groupKey=store.file.flush-disk-mode+SEATA_GROUP, md5=0df93e34273b367bb63bad28c94c78d5, lastModifiedOld=1592906506229, lastModifiedNew=1592908140134

2020-06-23 18:29:00,340 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.db-type+SEATA_GROUP, md5=81c3b080dad537de7e10e0987a4bf52e, lastModifiedOld=1592906506384, lastModifiedNew=1592908140265

2020-06-23 18:29:00,341 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.url+SEATA_GROUP, md5=cbb3bd573704f125fb4f2489208abaec, lastModifiedOld=1592906506433, lastModifiedNew=1592908140311

2020-06-23 18:29:00,444 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.user+SEATA_GROUP, md5=81c3b080dad537de7e10e0987a4bf52e, lastModifiedOld=1592906506490, lastModifiedNew=1592908140366

2020-06-23 18:29:00,545 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.max-conn+SEATA_GROUP, md5=eccbc87e4b5ce2fe28308fd9f2a7baf3, lastModifiedOld=1592906506642, lastModifiedNew=1592908140505

2020-06-23 18:29:00,547 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.min-conn+SEATA_GROUP, md5=c4ca4238a0b923820dcc509a6f75849b, lastModifiedOld=1592906506595, lastModifiedNew=1592908140461

2020-06-23 18:29:00,649 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.global.table+SEATA_GROUP, md5=8b28fb6bb4c4f984df2709381f8eba2b, lastModifiedOld=1592906506694, lastModifiedNew=1592908140550

2020-06-23 18:29:00,651 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.query-limit+SEATA_GROUP, md5=f899139df5e1059396431415e770c6dd, lastModifiedOld=1592906506790, lastModifiedNew=1592908140639

2020-06-23 18:29:00,653 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.branch.table+SEATA_GROUP, md5=54bcdac38cf62e103fe115bcf46a660c, lastModifiedOld=1592906506743, lastModifiedNew=1592908140594

2020-06-23 18:29:00,754 WARN [dump-ignore] ignore to save cache file. groupKey=store.db.lock-table+SEATA_GROUP, md5=55e0cae3b6dc6696b768db90098b8f2f, lastModifiedOld=1592906506844, lastModifiedNew=1592908140686

2020-06-23 18:29:00,756 WARN [dump-ignore] ignore to save cache file. groupKey=recovery.committing-retry-period+SEATA_GROUP, md5=a9b7ba70783b617e9998dc4dd82eb3c5, lastModifiedOld=1592906506904, lastModifiedNew=1592908140732

2020-06-23 18:29:00,857 WARN [dump-ignore] ignore to save cache file. groupKey=recovery.rollbacking-retry-period+SEATA_GROUP, md5=a9b7ba70783b617e9998dc4dd82eb3c5, lastModifiedOld=1592906507011, lastModifiedNew=1592908140820

2020-06-23 18:29:00,859 WARN [dump-ignore] ignore to save cache file. groupKey=recovery.asyn-committing-retry-period+SEATA_GROUP, md5=a9b7ba70783b617e9998dc4dd82eb3c5, lastModifiedOld=1592906506959, lastModifiedNew=1592908140777

2020-06-23 18:29:00,961 WARN [dump-ignore] ignore to save cache file. groupKey=transaction.undo.data.validation+SEATA_GROUP, md5=b326b5062b2f0e69046810717534cb09, lastModifiedOld=1592906507110, lastModifiedNew=1592908140914

2020-06-23 18:29:00,963 WARN [dump-ignore] ignore to save cache file. groupKey=recovery.timeout-retry-period+SEATA_GROUP, md5=a9b7ba70783b617e9998dc4dd82eb3c5, lastModifiedOld=1592906507060, lastModifiedNew=1592908140868

2020-06-23 18:29:01,064 WARN [dump-ignore] ignore to save cache file. groupKey=transaction.undo.log.save.days+SEATA_GROUP, md5=8f14e45fceea167a5a36dedd4bea2543, lastModifiedOld=1592906507210, lastModifiedNew=1592908141008

2020-06-23 18:29:01,067 WARN [dump-ignore] ignore to save cache file. groupKey=transaction.undo.log.serialization+SEATA_GROUP, md5=b41779690b83f182acc67d6388c7bac9, lastModifiedOld=1592906507161, lastModifiedNew=1592908140962

2020-06-23 18:29:01,068 WARN [dump-ignore] ignore to save cache file. groupKey=transaction.undo.log.delete.period+SEATA_GROUP, md5=f4c122804fe9076cb2710f55c3c6e346, lastModifiedOld=1592906507265, lastModifiedNew=1592908141054

2020-06-23 18:29:01,170 WARN [dump-ignore] ignore to save cache file. groupKey=transport.serialization+SEATA_GROUP, md5=b943081c423b9a5416a706524ee05d40, lastModifiedOld=1592906507372, lastModifiedNew=1592908141155

2020-06-23 18:29:01,171 WARN [dump-ignore] ignore to save cache file. groupKey=transaction.undo.log.table+SEATA_GROUP, md5=2842d229c24afe9e61437135e8306614, lastModifiedOld=1592906507319, lastModifiedNew=1592908141103

2020-06-23 18:29:01,273 WARN [dump-ignore] ignore to save cache file. groupKey=metrics.enabled+SEATA_GROUP, md5=68934a3e9455fa72420237eb05902327, lastModifiedOld=1592906507474, lastModifiedNew=1592908141249

2020-06-23 18:29:01,275 WARN [dump-ignore] ignore to save cache file. groupKey=transport.compressor+SEATA_GROUP, md5=334c4a4c42fdb79d7ebc3e73b517e6f8, lastModifiedOld=1592906507423, lastModifiedNew=1592908141203

2020-06-23 18:29:01,377 WARN [dump-ignore] ignore to save cache file. groupKey=metrics.registry-type+SEATA_GROUP, md5=7cf74ca49c304df8150205fc915cd465, lastModifiedOld=1592906507524, lastModifiedNew=1592908141293

2020-06-23 18:29:01,378 WARN [dump-ignore] ignore to save cache file. groupKey=metrics.exporter-list+SEATA_GROUP, md5=e4f00638b8a10e6994e67af2f832d51c, lastModifiedOld=1592906507574, lastModifiedNew=1592908141336

2020-06-23 18:29:01,480 WARN [dump-ignore] ignore to save cache file. groupKey=metrics.exporter-prometheus-port+SEATA_GROUP, md5=7b9dc501afe4ee11c56a4831e20cee71, lastModifiedOld=1592906507623, lastModifiedNew=1592908141383

2020-06-23 19:14:51,239 WARN [dump-ignore] ignore to save cache file. groupKey=transport.type+SEATA_GROUP, md5=b136ef5f6a01d816991fe3cf7a6ac763, lastModifiedOld=1592906504689, lastModifiedNew=1592910891129

2020-06-23 19:14:51,241 WARN [dump-ignore] ignore to save cache file. groupKey=transport.server+SEATA_GROUP, md5=b6d9dfc0fb54277321cebc0fff55df2f, lastModifiedOld=1592906504819, lastModifiedNew=1592910891190

2020-06-23 19:14:51,344 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.boss-thread-prefix+SEATA_GROUP, md5=0f8db59a3b7f2823f38a70c308361836, lastModifiedOld=1592906504951, lastModifiedNew=1592910891286

2020-06-23 19:14:51,347 WARN [dump-ignore] ignore to save cache file. groupKey=transport.heartbeat+SEATA_GROUP, md5=b326b5062b2f0e69046810717534cb09, lastModifiedOld=1592906504891, lastModifiedNew=1592910891238

2020-06-23 19:14:51,348 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.worker-thread-prefix+SEATA_GROUP, md5=a78ec7ef5d1631754c4e72ae8a3e9205, lastModifiedOld=1592906505021, lastModifiedNew=1592910891338

2020-06-23 19:14:51,457 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.share-boss-worker+SEATA_GROUP, md5=68934a3e9455fa72420237eb05902327, lastModifiedOld=1592906505130, lastModifiedNew=1592910891439

2020-06-23 19:14:51,459 WARN [dump-ignore] ignore to save cache file. groupKey=transport.thread-factory.server-executor-thread-prefix+SEATA_GROUP, md5=11a36309f3d9df84fa8b59cf071fa2da, lastModifiedOld=1592906505078, lastModifiedNew=1592910891388

